,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
2148,600219,南山铝业,4.15,9.32,20.6538,1396.2184,0.1509,14978.9868,1.6191
2149,000413,东旭光电,4.15,7.61,18.753,1315.1576,0.2295,17263.5678,3.0127
2150,600734,实达集团,4.14,3.09,10.3498,124.4661,0.1996,4020.7783,6.4485
2151,600362,江西铜业,4.14,1.25,3.4067,2044.9802,0.5905,162597.3604,46.9564
2152,603717,天域生态,4.14,7.12,29.4001,54.4102,0.225,763.295,3.1567
2153,601666,平煤股份,4.14,3.64,19.1954,529.4661,0.2242,14541.8847,6.1587
2154,002564,天沃科技,4.14,2.91,14.1277,161.5647,0.1829,5551.2554,6.2874
2155,002510,天汽模,4.14,8.12,18.8004,102.4641,0.1143,1260.5606,1.4064
2156,603696,安记食品,4.13,13.19,30.7025,30.5428,0.1818,231.4027,1.3773
2157,601878,浙商证券,4.13,21.5,28.4087,561.8965,0.1685,2613.3424,0.784
2158,002429,兆驰股份,4.12,3.96,11.1201,356.2354,0.0786,8974.1321,1.9823
2159,601007,金陵饭店,4.12,7.62,62.70399999999999,59.95399999999999,0.1998,786.6874,2.6222
2160,601007,金陵饭店,4.12,7.62,62.70399999999999,59.95399999999999,0.1998,786.6874,2.6222
2161,002537,海联金汇,4.11,7.85,21.5063,288.3897,0.2304,3670.6065,2.9333
2162,300477,合纵科技,4.11,5.22,22.3832,81.1884,0.1394,1555.2299,2.6713
2163,600038,中直股份,4.11,3.74,12.4362,306.2913,0.5195,8185.5189,13.886
2164,002590,万安科技,4.11,4.51,25.2478,77.4274,0.1614,1716.4766,3.5786
2165,601028,玉龙股份,4.11,7.25,6.56,86.8292,0.1108,1197.5569,1.5293
2166,600655,豫园股份,4.11,5.74,20.1203,1140.0394,0.294,19842.6113,5.1187
2167,002308,威创股份,4.1,17.82,54.8106,147.0963,0.1615,825.171,0.9064
2168,002681,奋达科技,4.1,10.85,22.0149,261.8947,0.126,2411.795,1.1611
2169,000777,中核科技,4.1,6.46,19.0314,53.7823,0.1402,831.7671,2.1693
2170,600888,新疆众和,4.1,4.26,15.0513,148.7229,0.1725,3486.6841,4.0458
2171,300021,大禹节水,4.09,5.87,29.4196,57.2444,0.0717,973.7418,1.2212
2172,002627,宜昌交运,4.09,5.1,12.548,84.4584,0.2683,1653.9877,5.2555
2173,600722,金牛化工,4.08,5.19,11.4529,39.084,0.0574,751.9396,1.1052
2174,002324,普利特,4.07,3.56,18.2006,95.8849,0.23600000000000002,2689.2398,6.6192
2175,603085,天成自控,4.07,6.56,28.2365,40.6746,0.1397,619.6713,2.1295
2176,002490,山东墨龙,4.07,2.41,15.0519,79.5509,0.0997,3298.2929999999997,4.1339
2177,300287,飞利信,4.07,12.38,28.6239,243.3333,0.1695,1964.9386,1.369
2178,000038,深大通,4.07,10.48,16.4107,220.0639,0.4209,2098.4815,4.0141
2179,300049,福瑞股份,4.07,10.02,69.5644,58.571000000000005,0.2226,584.1379,2.2206
2180,600717,天津港,4.05,6.87,20.2757,647.6146,0.3866,9426.1972,5.6283
2181,002644,佛慈制药,4.05,14.13,32.7502,57.1874,0.1119,404.6839,0.7924
2182,601949,中国出版,4.04,7.23,33.2178,234.7173,0.1287,3243.8417,1.7798
2183,600798,宁波海运,4.04,7.97,23.9575,117.2242,0.1137,1470.6744,1.4266
2184,300665,飞鹿股份,4.04,7.32,26.2411,18.2813,0.1503,249.5411,2.0521
2185,600287,江苏舜天,4.04,1.87,8.1532,73.4942,0.1682,3929.2443,8.9956
2186,002390,信邦制药,4.04,5.25,21.5883,263.9188,0.1582,5025.1716,3.014
2187,300615,欣天科技,4.03,10.69,30.8714,18.706,0.127,174.9731,1.1881
2188,600488,天药股份,4.03,6.06,47.7242,113.1677,0.1036,1866.1322,1.709
2189,600664,哈药股份,4.02,2.99,26.0306,242.9128,0.0954,8103.6414,3.1842
2190,002375,亚厦股份,4.02,4.78,15.3621,311.9899,0.2328,6516.3638,4.8629
2191,600223,鲁商置业,4.02,2.01,14.4227,97.6666,0.0975,4838.9547,4.8342
2192,300346,南大光电,4.02,27.44,52.2536,50.0703,0.183,182.4496,0.6671
2193,000899,赣能股份,4.01,10.15,12.9469,187.1554,0.1918,1842.4008,1.8883
2194,300055,万邦达,4.01,21.9,29.918000000000003,239.5521,0.2768,1093.8027,1.2642
2195,000667,美好置业,4.01,53.23,13.9448,292.3531,0.1142,549.1793,0.2145
2196,300492,山鼎设计,4.01,8.85,33.6349,12.3378,0.1482,139.3984,1.6754
2197,002344,海宁皮城,4.0,26.54,48.4223,297.1402,0.2316,1119.5524,0.8727
2198,300212,易华录,4.0,5.77,34.0474,110.5461,0.2453,1913.5105,4.2465
2199,002093,国脉科技,4.0,15.66,37.8341,127.195,0.1262,812.015,0.8059
2200,600105,永鼎股份,3.99,4.75,11.958,106.7224,0.0851,2243.6261,1.7906
2201,600200,江苏吴中,3.99,8.23,34.7736,115.1278,0.1594,1398.2398,1.9369
2202,000545,金浦钛业,3.99,5.62,18.6896,81.072,0.0821,1440.7219,1.4599
2203,300351,永贵电器,3.99,12.83,36.0026,116.3923,0.3026,907.1696,2.3586
2204,603077,和邦生物,3.99,9.84,22.4095,448.4374,0.0507,4557.1785,0.516
2205,600130,波导股份,3.98,8.61,11.9764,35.0102,0.0455,406.4079,0.5291
2206,601198,东兴证券,3.98,35.28,41.8964,778.4348,0.2822,2205.8333,0.7998
2207,000407,胜利股份,3.98,2.86,16.8357,90.3559,0.1026,3149.8096,3.5789
2208,000669,金鸿控股,3.97,5.58,18.9591,170.4132,0.2504,3050.5307,4.4833
2209,300611,美力科技,3.97,6.82,26.8217,26.555,0.1483,389.2734,2.1753
2210,300414,中光防雷,3.97,12.7,33.9455,32.7369,0.1915,257.6857,1.5077
